Time;Consumption (W);;;
29/09/2025 00:00:00;80;;;
29/09/2025 01:00:00;40;;;
29/09/2025 02:00:00;30;;;
29/09/2025 03:00:00;30;;;
29/09/2025 04:00:00;30;;;
29/09/2025 05:00:00;30;;;
29/09/2025 06:00:00;30;;;
29/09/2025 07:00:00;40;;;
29/09/2025 08:00:00;340;;;
29/09/2025 09:00:00;40;;;
29/09/2025 10:00:00;20;;;
29/09/2025 11:00:00;20;;;
29/09/2025 12:00:00;20;;;
29/09/2025 13:00:00;80;;;
29/09/2025 14:00:00;30;;;
29/09/2025 15:00:00;30;;;
29/09/2025 16:00:00;20;;;
29/09/2025 17:00:00;30;;;
29/09/2025 18:00:00;40;;;
29/09/2025 19:00:00;450;;;
29/09/2025 20:00:00;490;;;
29/09/2025 21:00:00;440;;;
29/09/2025 22:00:00;140;;;
29/09/2025 23:00:00;50;;;
30/09/2025 00:00:00;80;;;
30/09/2025 01:00:00;80;;;
30/09/2025 02:00:00;30;;;
30/09/2025 03:00:00;20;;;
30/09/2025 04:00:00;40;;;
30/09/2025 05:00:00;40;;;
30/09/2025 06:00:00;20;;;
30/09/2025 07:00:00;190;;;
30/09/2025 08:00:00;50;;;
30/09/2025 09:00:00;30;;;
30/09/2025 10:00:00;20;;;
30/09/2025 11:00:00;10;;;
30/09/2025 12:00:00;30;;;
30/09/2025 13:00:00;30;;;
30/09/2025 14:00:00;30;;;
30/09/2025 15:00:00;10;;;
30/09/2025 16:00:00;30;;;
30/09/2025 17:00:00;50;;;
30/09/2025 18:00:00;50;;;
30/09/2025 19:00:00;90;;;
30/09/2025 20:00:00;1080;;;
30/09/2025 21:00:00;500;;;
30/09/2025 22:00:00;140;;;
30/09/2025 23:00:00;100;;;
